Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8,Q17_Part_1,Q17_Part_2,Q17_Part_3,Q17_Part_4,Q17_Part_5,Q17_Part_6,Q17_Part_7,Q17_Part_8,Q17_Part_9,Q17_Part_10,Q17_Part_11,Q17_OTHER,Q24,lower,higher
Netherlands,Master’s degree,Data Scientist,3-5 years,Python,R,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,60000-69999,60000.0,69999.0
India,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Doctoral degree,Research Scientist,20+ years,,R,,,,,,,,,,,Other,Python,,,,,,,,,,,,,80000-89999,80000.0,89999.0
Germany,Bachelor’s degree,Software Engineer,10-20 years,Python,R,SQL,C,C++,Java,Javascript,,,Bash,,,Other,Python,,,,,,,,,,,None,,80000-89999,80000.0,89999.0
India,Bachelor’s degree,Currently not employed,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,C,C++,Java,Javascript,,,,,,,Python,,,,,,,,,,,,,,,
United States of America,Bachelor’s degree,Student,1-2 years,Python,R,,,C++,,,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,,,
Egypt,Bachelor’s degree,Other,1-2 years,,,SQL,C,C++,Java,,,,,,,Other,C++,,,,,,,Convolutional Neural Networks,Generative Adversarial Networks,,,,,5000-7499,5000.0,7499.0
India,Bachelor’s degree,Currently not employed,1-2 years,Python,R,SQL,C,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,,,
India,Bachelor’s degree,Student,3-5 years,Python,,,,C++,Java,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,
Japan,Bachelor’s degree,Other,5-10 years,Python,,SQL,C,,,Javascript,,,,,,Other,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,Recurrent Neural Networks,,,,50000-59999,50000.0,59999.0
India,Master’s degree,Product/Project Manager,3-5 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,30000-39999,30000.0,39999.0
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,,,
Argentina,Bachelor’s degree,Data Scientist,10-20 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,Recurrent Neural Networks,,,,80000-89999,80000.0,89999.0
Brazil,Master’s degree,Research Scientist,10-20 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,30000-39999,30000.0,39999.0
Brazil,Master’s degree,Business Analyst,3-5 years,,,SQL,,,,,,,,,,Other,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,15000-19999,15000.0,19999.0
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,70000-79999,70000.0,79999.0
Malaysia,Bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,MATLAB,,,MATLAB,,,,,,,,,,,,,,,
India,Master’s degree,Student,< 1 years,,,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,,,,,,,,,,,,,,
Taiwan,Master’s degree,Software Engineer,3-5 years,Python,R,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,,,
India,Master’s degree,Currently not employed,1-2 years,Python,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,
United States of America,Master’s degree,Software Engineer,10-20 years,Python,,,,C++,,,,,Bash,,,Other,Python,Linear or Logistic Regression,,,Bayesian Approaches,Evolutionary Approaches,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
Indonesia,Bachelor’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
United States of America,Master’s degree,Student,< 1 years,,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
Spain,Doctoral degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,30000-39999,30000.0,39999.0
Turkey,Bachelor’s degree,Software Engineer,5-10 years,,,SQL,C,,,,,,,,,Other,Python,,,,,,,,,Recurrent Neural Networks,,,,,,
India,Bachelor’s degree,Data Analyst,5-10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Some college/university study without earning a bachelor’s degree,Currently not employed,20+ years,Python,,,C,,,,,,,,,Other,Python,,,,,,,,,,,,,,,
France,Master’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Master’s degree,Machine Learning Engineer,3-5 years,Python,,SQL,,C++,,,,,Bash,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,70000-79999,70000.0,79999.0
India,Bachelor’s degree,Student,1-2 years,Python,,,C,C++,,,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
Mexico,Doctoral degree,Software Engineer,3-5 years,Python,,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,None,,7500-9999,7500.0,9999.0
Nigeria,Bachelor’s degree,Currently not employed,1-2 years,Python,,SQL,,,,Javascript,,,,,,Other,SQL,,,,,,,,,,,,,,,
India,Master’s degree,Student,1-2 years,Python,R,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Singapore,Master’s degree,Student,3-5 years,Python,,,,,,Javascript,,,,,,,Python,,,,,,,,,,,,,,,
Israel,Master’s degree,Currently not employed,5-10 years,Python,,,C,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
China,Master’s degree,Student,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
China,Master’s degree,Student,3-5 years,Python,,,C,C++,Java,,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
Brazil,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,30000-39999,30000.0,39999.0
France,Master’s degree,Software Engineer,3-5 years,Python,,,C,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,30000-39999,30000.0,39999.0
Italy,Bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,,Java,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
Taiwan,Bachelor’s degree,Currently not employed,20+ years,Python,,SQL,,,Java,Javascript,,,,,,Other,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,,,
South Korea,Bachelor’s degree,Student,3-5 years,,,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
United States of America,Doctoral degree,Statistician,10-20 years,Python,R,,,,,,,,,,,,Python,,,,,,,,,,,,,125000-149999,125000.0,149999.0
Peru,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,R,SQL,,,,,,,,,,,C,,,,,,,,,,,,,,,
India,Bachelor’s degree,Software Engineer,3-5 years,,,,C,C++,,Javascript,,,,,,,C,,,,,,,Convolutional Neural Networks,,,,,,,,
Malaysia,Doctoral degree,Research Scientist,5-10 years,Python,R,,,,,,,,,,,,R,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,20000-24999,20000.0,24999.0
India,Bachelor’s degree,Product/Project Manager,3-5 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,20000-24999,20000.0,24999.0
Turkey,Bachelor’s degree,Data Scientist,20+ years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,7500-9999,7500.0,9999.0
Other,Bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,
United States of America,Master’s degree,Data Analyst,5-10 years,Python,R,SQL,,,,,,,Bash,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,125000-149999,125000.0,149999.0
Poland,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,Python,,SQL,,,Java,Javascript,,,Bash,,,Other,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,20000-24999,20000.0,24999.0
Egypt,Master’s degree,Research Scientist,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Master’s degree,Software Engineer,10-20 years,Python,,SQL,,,,Javascript,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,25000-29999,25000.0,29999.0
Brazil,Bachelor’s degree,Currently not employed,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
India,Bachelor’s degree,Software Engineer,1-2 years,Python,,SQL,,,Java,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Master’s degree,Student,3-5 years,Python,,,C,C++,Java,,,,Bash,MATLAB,,,Python,,,,,,,,,,,,,,,
India,Master’s degree,Student,1-2 years,Python,R,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
India,Bachelor’s degree,Business Analyst,< 1 years,,,,,,,,,,,,None,,Python,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,,,SQL,C,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
India,Bachelor’s degree,Currently not employed,< 1 years,Python,R,,C,C++,,,,,,MATLAB,,,R,,,,,,,,,,,,,,,
India,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
Argentina,Bachelor’s degree,Software Engineer,20+ years,,,SQL,,,,,,,,,,Other,Python,,,,,,,,,,,,,15000-19999,15000.0,19999.0
Netherlands,Master’s degree,Data Scientist,20+ years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,100000-124999,100000.0,124999.0
Turkey,Bachelor’s degree,Student,3-5 years,Python,,,C,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,,,
United States of America,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,,,,,,,,,,None,,Python,,,,,,,,,,,,,,,
India,Master’s degree,Machine Learning Engineer,3-5 years,Python,,SQL,C,C++,Java,Javascript,,,,,,,MATLAB,Linear or Logistic Regression,,,,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",,,,,,,10000-14999,10000.0,14999.0
United States of America,Bachelor’s degree,Currently not employed,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Spain,I prefer not to answer,Other,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,20000-24999,20000.0,24999.0
Portugal,Master’s degree,Data Analyst,10-20 years,,,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,30000-39999,30000.0,39999.0
United States of America,Doctoral degree,Student,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,Generative Adversarial Networks,,"Transformer Networks (BERT, gpt-3, etc)",,,,,
Philippines,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,,Java,Javascript,,,,,,,Python,,,,,,,,,,,,,,,
Russia,Master’s degree,Software Engineer,5-10 years,,,,,,Java,,,,,,,,Python,,,,,,,,,,,,,,,
Argentina,Bachelor’s degree,Data Scientist,5-10 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Malaysia,Doctoral degree,Research Scientist,20+ years,Python,,,C,C++,Java,,,,,MATLAB,,,Python,,,,,,,,,,,,,,,
Malaysia,Master’s degree,Student,3-5 years,Python,R,,,,,,,,Bash,MATLAB,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,Recurrent Neural Networks,,,,,,
United States of America,Master’s degree,Currently not employed,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,Professional degree,Other,20+ years,Python,,SQL,,,Java,,,,Bash,,,,Python,,,,Bayesian Approaches,,,,Generative Adversarial Networks,,,,,100000-124999,100000.0,124999.0
Sweden,Bachelor’s degree,Data Analyst,10-20 years,Python,R,SQL,C,C++,,,,,Bash,,,,Python,,,,,,,,,,,,,30000-39999,30000.0,39999.0
Japan,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Doctoral degree,Product/Project Manager,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,50000-59999,50000.0,59999.0
Mexico,Master’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
Nigeria,Doctoral degree,Data Scientist,3-5 years,,,,,,,,,,,,,Other,SQL,,Decision Trees or Random Forests,,Bayesian Approaches,,,,,Recurrent Neural Networks,,,,7500-9999,7500.0,9999.0
Brazil,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Python,,,C,C++,,,,,Bash,,,,C,,,,,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,,,
United States of America,Master’s degree,Data Scientist,20+ years,Python,,,,,,,Julia,,,,,,Julia,Linear or Logistic Regression,,,Bayesian Approaches,,,,,,,,,100000-124999,100000.0,124999.0
Spain,Master’s degree,Business Analyst,1-2 years,,R,,,,,,,,,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,,,
India,Bachelor’s degree,Business Analyst,1-2 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,500000-600000,500000.0,600000.0
Brazil,Bachelor’s degree,Software Engineer,20+ years,Python,,SQL,,,,Javascript,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,15000-19999,15000.0,19999.0
India,Bachelor’s degree,Student,3-5 years,Python,,,C,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
Nigeria,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,,,
United States of America,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,Recurrent Neural Networks,,,,,,
Ireland,Doctoral degree,Software Engineer,3-5 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,50000-59999,50000.0,59999.0
Other,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,,,Javascript,Julia,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,80000-89999,80000.0,89999.0
Peru,Master’s degree,Data Analyst,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,7500-9999,7500.0,9999.0
China,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python,R,SQL,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,7500-9999,7500.0,9999.0
Turkey,Bachelor’s degree,Data Analyst,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,,,
China,Master’s degree,Student,3-5 years,Python,,,,C++,,,,,,MATLAB,,,C++,,Decision Trees or Random Forests,,,,,,,,,,,,,
Mexico,I prefer not to answer,Currently not employed,< 1 years,Python,,SQL,,,,,,,,,,Other,SQL,,,,,,,,,,,,,,,
India,Bachelor’s degree,Currently not employed,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,,,
United States of America,Master’s degree,Data Analyst,5-10 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,100000-124999,100000.0,124999.0
India,Master’s degree,Data Scientist,5-10 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,20000-24999,20000.0,24999.0
Australia,Master’s degree,Currently not employed,1-2 years,,,SQL,,,Java,,,,,,,,Java,,,,,,,,,,,,,,,
India,Bachelor’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,5000-7499,5000.0,7499.0
United States of America,Master’s degree,DBA/Database Engineer,10-20 years,Python,,SQL,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,150000-199999,150000.0,199999.0
Philippines,Master’s degree,Statistician,3-5 years,,R,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Russia,Master’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,30000-39999,30000.0,39999.0
Morocco,Master’s degree,Currently not employed,3-5 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,,,
China,Bachelor’s degree,Currently not employed,< 1 years,Python,,,C,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,,,
United States of America,Bachelor’s degree,Other,20+ years,Python,R,SQL,C,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,200000-249999,200000.0,249999.0
Portugal,Master’s degree,Product/Project Manager,10-20 years,,,,,,,,,,,,None,,MATLAB,,,,,,,,,,,,,50000-59999,50000.0,59999.0
United States of America,Master’s degree,Other,1-2 years,Python,,SQL,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,50000-59999,50000.0,59999.0
Spain,Master’s degree,Data Scientist,10-20 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,Evolutionary Approaches,,,,,,,,25000-29999,25000.0,29999.0
India,Master’s degree,Machine Learning Engineer,10-20 years,Python,,,C,C++,,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,50000-59999,50000.0,59999.0
India,Bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Italy,Doctoral degree,Research Scientist,20+ years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,Evolutionary Approaches,,,Generative Adversarial Networks,,,,,10000-14999,10000.0,14999.0
Other,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,
France,Master’s degree,Other,10-20 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,None,,40000-49999,40000.0,49999.0
China,Doctoral degree,Student,3-5 years,Python,,,,C++,,,,,,,,,Python,Linear or Logistic Regression,,,Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,,,
Other,Master’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
India,Master’s degree,Data Scientist,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,10000-14999,10000.0,14999.0
India,I prefer not to answer,Student,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,,,
Netherlands,Doctoral degree,Software Engineer,10-20 years,Python,,,C,C++,,,,,Bash,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,Generative Adversarial Networks,,,,,80000-89999,80000.0,89999.0
United States of America,Master’s degree,Data Engineer,20+ years,Python,R,SQL,,,Java,,,,,,,,MATLAB,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,Generative Adversarial Networks,,,,,200000-249999,200000.0,249999.0
India,Bachelor’s degree,Student,3-5 years,Python,,SQL,C,C++,Java,Javascript,,,,,,,C,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,,,
Republic of Korea,Bachelor’s degree,Data Scientist,5-10 years,Python,,SQL,C,,,Javascript,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,80000-89999,80000.0,89999.0
Spain,Doctoral degree,Research Scientist,5-10 years,Python,,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,15000-19999,15000.0,19999.0
Portugal,Bachelor’s degree,Other,3-5 years,,R,,,,,Javascript,,,,,,,R,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,,,
India,Doctoral degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Master’s degree,Machine Learning Engineer,20+ years,,,,,C++,,,,,,MATLAB,,,C++,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,Other,70000-79999,70000.0,79999.0
India,Bachelor’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Doctoral degree,Data Scientist,20+ years,Python,R,SQL,C,,,,Julia,,,MATLAB,,Other,Julia,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,150000-199999,150000.0,199999.0
India,Bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
Netherlands,Bachelor’s degree,Product/Project Manager,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,100000-124999,100000.0,124999.0
United States of America,Bachelor’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,100000-124999,100000.0,124999.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Currently not employed,20+ years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,,,
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,,,,,,,,,,
Nigeria,Master’s degree,Currently not employed,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,,,
United States of America,Some college/university study without earning a bachelor’s degree,Currently not employed,5-10 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,,,
South Africa,Master’s degree,Student,5-10 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,Recurrent Neural Networks,,,,,,
South Korea,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,No formal education past high school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
