Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8,Q17_Part_1,Q17_Part_2,Q17_Part_3,Q17_Part_4,Q17_Part_5,Q17_Part_6,Q17_Part_7,Q17_Part_8,Q17_Part_9,Q17_Part_10,Q17_Part_11,Q17_OTHER,Q24
Chile,Doctoral degree,Research Scientist,1-2 years,Python,,,,,,,,,,,,,C++,,,,,,,,,,,,,
India,Bachelor’s degree,Machine Learning Engineer,< 1 years,Python,,,C,,Java,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"4,000-4,999"
Sweden,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,Python,,,C,,,Javascript,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,"100,000-124,999"
France,Master’s degree,Other,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,"80,000-89,999"
India,Bachelor’s degree,Currently not employed,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Taiwan,Master’s degree,Data Analyst,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,"1,000-1,999"
Switzerland,Doctoral degree,Research Scientist,20+ years,Python,R,,C,C++,,,,,Bash,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"150,000-199,999"
Other,Some college/university study without earning a bachelor’s degree,Software Engineer,3-5 years,Python,,SQL,,,,Javascript,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,Other,$0-999
India,Master’s degree,Student,1-2 years,,,,,,Java,,,,,MATLAB,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,I prefer not to answer,Other,< 1 years,,,,,,,,,,,,None,,Python,,,,,,,,,,,,,$0-999
India,Bachelor’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,
India,I prefer not to answer,Machine Learning Engineer,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
Philippines,Doctoral degree,Research Scientist,20+ years,Python,R,,,,,,,,,,,,R,,Decision Trees or Random Forests,,,Evolutionary Approaches,,Convolutional Neural Networks,,,,,,"15,000-19,999"
India,Bachelor’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,"10,000-14,999"
Pakistan,Master’s degree,Data Analyst,< 1 years,Python,,,,,,,,,,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"5,000-7,499"
Other,Doctoral degree,Research Scientist,10-20 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"30,000-39,999"
Philippines,Bachelor’s degree,Product/Project Manager,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,Evolutionary Approaches,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"2,000-2,999"
India,Bachelor’s degree,Software Engineer,1-2 years,Python,,,C,C++,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"10,000-14,999"
India,Bachelor’s degree,Student,1-2 years,Python,,,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,Professional degree,Product/Project Manager,3-5 years,,,,,,,,,,,MATLAB,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,Other,"5,000-7,499"
Other,Bachelor’s degree,Software Engineer,5-10 years,Python,,,,,,Javascript,,,Bash,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,"2,000-2,999"
India,Bachelor’s degree,Student,1-2 years,,,,C,C++,Java,,,,,,,,None,,,,,,,,,,,,,
India,Master’s degree,Software Engineer,3-5 years,Python,,SQL,,C++,,Javascript,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"10,000-14,999"
Other,Master’s degree,Data Analyst,1-2 years,Python,R,SQL,,,Java,,,Swift,,,,,R,,,,,,,,,,,,,
Singapore,Master’s degree,Currently not employed,5-10 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Mexico,Master’s degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"25,000-29,999"
India,Master’s degree,Data Analyst,3-5 years,Python,R,SQL,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,$0-999
India,Master’s degree,Student,3-5 years,Python,,,C,C++,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Egypt,Professional degree,Software Engineer,3-5 years,,,,,,,Javascript,,,,,,,Javascript,,,,,,,,,,,,,"5,000-7,499"
United States of America,Master’s degree,Product/Project Manager,5-10 years,,R,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,"250,000-299,999"
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Product/Project Manager,5-10 years,Python,,,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"60,000-69,999"
United States of America,Some college/university study without earning a bachelor’s degree,Research Scientist,1-2 years,Python,,,,,,Javascript,,,,,,,Javascript,,,,,,,,,,,,,"1,000-1,999"
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,,C++,,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,
Japan,Doctoral degree,Product/Project Manager,20+ years,Python,R,SQL,C,C++,,,,,,,,,SQL,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,,,,,"90,000-99,999"
Egypt,Doctoral degree,Research Scientist,1-2 years,Python,,SQL,C,C++,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,"Transformer Networks (BERT, gpt-3, etc)",,,"1,000-1,999"
India,Bachelor’s degree,Student,3-5 years,Python,,,,C++,,,,,,,,,C++,,,,,,,,,,,,,
South Africa,Doctoral degree,Other,1-2 years,,,SQL,,,,,,,,,,,Python,,Decision Trees or Random Forests,,Bayesian Approaches,Evolutionary Approaches,,,,,,,,"60,000-69,999"
China,I prefer not to answer,Student,3-5 years,Python,,SQL,,,Java,,,,,,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,C,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,"70,000-79,999"
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,,C++,Java,,,,,,,,Python,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Professional degree,Data Engineer,10-20 years,Python,,,C,C++,,,,,,MATLAB,,,C,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"2,000-2,999"
India,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
India,Bachelor’s degree,Data Scientist,3-5 years,Python,R,SQL,C,,,,Julia,,Bash,,,,Julia,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"30,000-39,999"
India,Bachelor’s degree,Business Analyst,1-2 years,Python,,SQL,,,,,,,,,,,Javascript,,,,,,,,,,,,,"4,000-4,999"
India,Master’s degree,Student,< 1 years,Python,,,,C++,,,,,,,,,C++,,,,,,,,,,,,,
Other,Doctoral degree,Data Scientist,20+ years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"100,000-124,999"
Ukraine,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,C++,,,,,Bash,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"15,000-19,999"
India,Bachelor’s degree,Software Engineer,10-20 years,Python,,,,,,,,,,,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"300,000-500,000"
Poland,Master’s degree,Data Scientist,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,$0-999
Japan,Doctoral degree,Machine Learning Engineer,20+ years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"7,500-9,999"
Spain,Master’s degree,Data Scientist,10-20 years,Python,R,,,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"70,000-79,999"
India,Bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Egypt,Bachelor’s degree,Other,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,"3,000-3,999"
Germany,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,"70,000-79,999"
Canada,Master’s degree,Student,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,None,,
India,Master’s degree,Other,3-5 years,Python,,,C,C++,,,,,,,,,Python,,,,,,,,,,,,,"60,000-69,999"
France,Master’s degree,Data Scientist,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"50,000-59,999"
Nigeria,Bachelor’s degree,Data Analyst,< 1 years,Python,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,5-10 years,Python,,SQL,,,,,,,Bash,MATLAB,,Other,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,Evolutionary Approaches,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,Generative Adversarial Networks,Recurrent Neural Networks,,,,"70,000-79,999"
Spain,Master’s degree,Data Engineer,10-20 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"40,000-49,999"
United States of America,Doctoral degree,Data Analyst,5-10 years,,,SQL,,,,,,,,,,Other,Python,,,,,,,,,,,,,"100,000-124,999"
India,Bachelor’s degree,Student,1-2 years,Python,R,SQL,C,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,
Japan,Doctoral degree,Other,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"20,000-24,999"
Turkey,Bachelor’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,Other,"1,000-1,999"
Spain,No formal education past high school,Software Engineer,3-5 years,,,,,,,Javascript,,,,,,,Python,,,,,,,,,,,,,"15,000-19,999"
India,Master’s degree,Data Scientist,3-5 years,Python,,SQL,C,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"40,000-49,999"
Netherlands,Master’s degree,Data Scientist,3-5 years,Python,R,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"60,000-69,999"
India,Bachelor’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Doctoral degree,Research Scientist,20+ years,,R,,,,,,,,,,,Other,Python,,,,,,,,,,,,,"80,000-89,999"
Germany,Bachelor’s degree,Software Engineer,10-20 years,Python,R,SQL,C,C++,Java,Javascript,,,Bash,,,Other,Python,,,,,,,,,,,None,,"80,000-89,999"
India,Bachelor’s degree,Currently not employed,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,C,C++,Java,Javascript,,,,,,,Python,,,,,,,,,,,,,
Netherlands,Master’s degree,Data Scientist,5-10 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",,,,,,Other,$0-999
United States of America,Bachelor’s degree,Student,1-2 years,Python,R,,,C++,,,,,,MATLAB,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,
Egypt,Bachelor’s degree,Other,1-2 years,,,SQL,C,C++,Java,,,,,,,Other,C++,,,,,,,Convolutional Neural Networks,Generative Adversarial Networks,,,,,"5,000-7,499"
India,Bachelor’s degree,Currently not employed,1-2 years,Python,R,SQL,C,,,,,,,,,,R,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,,,,
Nigeria,Bachelor’s degree,Data Scientist,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,$0-999
India,Bachelor’s degree,Student,3-5 years,Python,,,,C++,Java,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
Japan,Bachelor’s degree,Other,5-10 years,Python,,SQL,C,,,Javascript,,,,,,Other,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,Recurrent Neural Networks,,,,"50,000-59,999"
India,Master’s degree,Product/Project Manager,3-5 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"30,000-39,999"
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,,"Transformer Networks (BERT, gpt-3, etc)",,,
Argentina,Bachelor’s degree,Data Scientist,10-20 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,,,Recurrent Neural Networks,,,,"80,000-89,999"
Brazil,Master’s degree,Research Scientist,10-20 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,"30,000-39,999"
India,Bachelor’s degree,Machine Learning Engineer,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,$0-999
Brazil,Master’s degree,Business Analyst,3-5 years,,,SQL,,,,,,,,,,Other,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,"15,000-19,999"
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Other,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,"70,000-79,999"
Russia,Master’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,"2,000-2,999"
Malaysia,Bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,MATLAB,,,MATLAB,,,,,,,,,,,,,
India,Master’s degree,Student,< 1 years,,,SQL,,,,,,,,,,,SQL,Linear or Logistic Regression,,,,,,,,,,,,
Taiwan,Master’s degree,Software Engineer,3-5 years,Python,R,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,
Republic of Korea,No formal education past high school,Software Engineer,1-2 years,,,,,,Java,,,,,,,,Java,,,,,,,,,Recurrent Neural Networks,,,,$0-999
India,Master’s degree,Currently not employed,1-2 years,Python,R,,,,,,,,,,,,R,,,,,,,,,,,,,
United States of America,Master’s degree,Software Engineer,10-20 years,Python,,,,C++,,,,,Bash,,,Other,Python,Linear or Logistic Regression,,,Bayesian Approaches,Evolutionary Approaches,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Indonesia,Bachelor’s degree,Currently not employed,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
United States of America,Master’s degree,Student,< 1 years,,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Spain,Doctoral degree,Data Scientist,5-10 years,Python,R,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"30,000-39,999"
Turkey,Bachelor’s degree,Software Engineer,5-10 years,,,SQL,C,,,,,,,,,Other,Python,,,,,,,,,Recurrent Neural Networks,,,,
India,Bachelor’s degree,Data Analyst,5-10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Master’s degree,Data Scientist,< 1 years,Python,,SQL,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"2,000-2,999"
Turkey,Some college/university study without earning a bachelor’s degree,Currently not employed,20+ years,Python,,,C,,,,,,,,,Other,Python,,,,,,,,,,,,,
France,Master’s degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,Master’s degree,Machine Learning Engineer,3-5 years,Python,,SQL,,C++,,,,,Bash,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,"70,000-79,999"
India,Bachelor’s degree,Student,1-2 years,Python,,,C,C++,,,,,,MATLAB,,,Python,,,,,,,,,,,,,
Mexico,Doctoral degree,Software Engineer,3-5 years,Python,,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,None,,"7,500-9,999"
Nigeria,Bachelor’s degree,Currently not employed,1-2 years,Python,,SQL,,,,Javascript,,,,,,Other,SQL,,,,,,,,,,,,,
India,Master’s degree,Student,1-2 years,Python,R,,,,,,,,,,,,Python,,,,,,,,,,,,,
Singapore,Master’s degree,Student,3-5 years,Python,,,,,,Javascript,,,,,,,Python,,,,,,,,,,,,,
United States of America,Bachelor’s degree,Other,3-5 years,Python,,SQL,,,,Javascript,,,,,,,Other,,,,,,,,,,,,Other,$0-999
Israel,Master’s degree,Currently not employed,5-10 years,Python,,,C,C++,,,,,,,,,Python,,,,,,,,,,,,,
Indonesia,Bachelor’s degree,Data Engineer,1-2 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,$0-999
China,Master’s degree,Student,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
China,Master’s degree,Student,3-5 years,Python,,,C,C++,Java,,,,,MATLAB,,,Python,,,,,,,,,,,,,
Brazil,Master’s degree,Data Scientist,3-5 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"30,000-39,999"
France,Master’s degree,Software Engineer,3-5 years,Python,,,C,,Java,Javascript,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,,,,,"30,000-39,999"
Italy,Bachelor’s degree,Student,1-2 years,Python,,,,C++,,,,,,,,,Python,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python,,,,,Java,,,,,,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Taiwan,Bachelor’s degree,Currently not employed,20+ years,Python,,SQL,,,Java,Javascript,,,,,,Other,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,
India,Bachelor’s degree,Data Analyst,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,$0-999
South Korea,Bachelor’s degree,Student,3-5 years,,,,,,,,,,,MATLAB,,,Python,,,,,,,,,,,,,
United States of America,Doctoral degree,Statistician,10-20 years,Python,R,,,,,,,,,,,,Python,,,,,,,,,,,,,"125,000-149,999"
Peru,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,R,SQL,,,,,,,,,,,C,,,,,,,,,,,,,
India,Bachelor’s degree,Software Engineer,3-5 years,,,,C,C++,,Javascript,,,,,,,C,,,,,,,Convolutional Neural Networks,,,,,,
Malaysia,Doctoral degree,Research Scientist,5-10 years,Python,R,,,,,,,,,,,,R,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,"Dense Neural Networks (MLPs, etc)",,,,,,,"20,000-24,999"
India,Bachelor’s degree,Product/Project Manager,3-5 years,Python,,,,,,,,,,,,,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"20,000-24,999"
Turkey,Bachelor’s degree,Data Scientist,20+ years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,"7,500-9,999"
Other,Bachelor’s degree,Student,1-2 years,Python,,,,,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,,,,
United States of America,Master’s degree,Data Analyst,5-10 years,Python,R,SQL,,,,,,,Bash,,,,SQL,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"125,000-149,999"
Poland,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,Python,,SQL,,,Java,Javascript,,,Bash,,,Other,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,"20,000-24,999"
Egypt,Master’s degree,Research Scientist,< 1 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Master’s degree,Software Engineer,10-20 years,Python,,SQL,,,,Javascript,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"25,000-29,999"
Brazil,Bachelor’s degree,Currently not employed,1-2 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Ukraine,Doctoral degree,Data Scientist,5-10 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"4,000-4,999"
India,Bachelor’s degree,Software Engineer,1-2 years,Python,,SQL,,,Java,,,,,,,,,,,,,,,,,,,,,
India,Professional degree,Software Engineer,3-5 years,Python,,,C,,Java,,,,,,,,Python,,Decision Trees or Random Forests,,,,,,,,,,,$0-999
Morocco,Master’s degree,Student,3-5 years,Python,,,C,C++,Java,,,,Bash,MATLAB,,,Python,,,,,,,,,,,,,
India,Master’s degree,Student,1-2 years,Python,R,,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,,,,,,,,
Brazil,Master’s degree,Data Analyst,5-10 years,Python,,,,,,Javascript,,,,,,,Python,,,,,,,Convolutional Neural Networks,,,,,,$0-999
India,Bachelor’s degree,Business Analyst,< 1 years,,,,,,,,,,,,None,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,,,SQL,C,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,Convolutional Neural Networks,,Recurrent Neural Networks,,,,
Taiwan,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,5-10 years,Python,,,,,,,,,,,,,Python,,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,"3,000-3,999"
India,Bachelor’s degree,Currently not employed,< 1 years,Python,R,,C,C++,,,,,,MATLAB,,,R,,,,,,,,,,,,,
India,Bachelor’s degree,Student,< 1 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
