Q3,Q4,Q5,Q6,Q8
United States of America,Master’s degree,Machine Learning Engineer,5-10 years,
China,Master’s degree,Other,< 1 years,Python
India,Master’s degree,Student,< 1 years,Python
Ghana,Bachelor’s degree,Data Scientist,< 1 years,Python
United States of America,Master’s degree,Data Analyst,3-5 years,Python
Singapore,Master’s degree,Data Scientist,5-10 years,Python
Turkey,Master’s degree,Data Scientist,< 1 years,Python
Japan,Doctoral degree,Student,1-2 years,Python
Other,Master’s degree,Research Scientist,3-5 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
China,Bachelor’s degree,Student,1-2 years,Other
India,Bachelor’s degree,Student,3-5 years,C
United States of America,Master’s degree,Software Engineer,20+ years,Python
Canada,Master’s degree,Machine Learning Engineer,3-5 years,Python
Tunisia,Master’s degree,Data Scientist,< 1 years,Python
India,Master’s degree,Student,1-2 years,Python
India,Master’s degree,Business Analyst,3-5 years,Python
Nigeria,Bachelor’s degree,Currently not employed,1-2 years,Python
Switzerland,Master’s degree,Data Analyst,3-5 years,Python
South Africa,Bachelor’s degree,Currently not employed,1-2 years,Python
France,Doctoral degree,Other,5-10 years,Python
United States of America,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python
Colombia,Master’s degree,Machine Learning Engineer,10-20 years,Python
India,Master’s degree,Other,3-5 years,Python
India,Doctoral degree,Student,3-5 years,Python
Nigeria,Bachelor’s degree,Student,3-5 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,< 1 years,SQL
Canada,Master’s degree,Data Scientist,1-2 years,Python
India,Master’s degree,Student,3-5 years,SQL
India,Master’s degree,Student,3-5 years,Python
Italy,Master’s degree,Research Scientist,5-10 years,Python
Taiwan,Master’s degree,Other,1-2 years,Python
Canada,Master’s degree,Machine Learning Engineer,3-5 years,Python
China,Doctoral degree,Student,5-10 years,Python
Bangladesh,Master’s degree,Student,1-2 years,R
Portugal,Master’s degree,Statistician,3-5 years,R
Other,Bachelor’s degree,Student,< 1 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,3-5 years,C++
Other,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
Russia,Master’s degree,Data Scientist,3-5 years,Python
India,Bachelor’s degree,Business Analyst,< 1 years,SQL
India,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Python
Other,Bachelor’s degree,,,
France,Doctoral degree,Research Scientist,3-5 years,Python
Other,I prefer not to answer,Currently not employed,< 1 years,Python
Egypt,Master’s degree,Data Scientist,< 1 years,SQL
Pakistan,Bachelor’s degree,Currently not employed,3-5 years,Python
India,Master’s degree,Data Analyst,1-2 years,Python
United States of America,Doctoral degree,Currently not employed,10-20 years,Python
Brazil,Bachelor’s degree,Currently not employed,5-10 years,Python
Other,Master’s degree,Product/Project Manager,10-20 years,SQL
Canada,Master’s degree,Business Analyst,20+ years,Python
United States of America,Bachelor’s degree,Student,1-2 years,R
Russia,Bachelor’s degree,Student,1-2 years,Python
United States of America,Bachelor’s degree,Student,1-2 years,Python
India,,,,
Saudi Arabia,Doctoral degree,Machine Learning Engineer,5-10 years,Python
Russia,Doctoral degree,Software Engineer,20+ years,R
China,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python
Other,Master’s degree,Machine Learning Engineer,1-2 years,MATLAB
Other,Master’s degree,Research Scientist,3-5 years,Python
Nigeria,Bachelor’s degree,Student,< 1 years,Python
India,Doctoral degree,Data Scientist,10-20 years,R
Saudi Arabia,No formal education past high school,Business Analyst,,
Portugal,Master’s degree,Data Analyst,3-5 years,Python
Argentina,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,R
India,Bachelor’s degree,Student,1-2 years,Python
India,Doctoral degree,Student,5-10 years,MATLAB
India,Bachelor’s degree,Data Scientist,3-5 years,Python
India,Bachelor’s degree,Currently not employed,1-2 years,Python
Russia,I prefer not to answer,Data Scientist,< 1 years,Python
Turkey,Doctoral degree,Machine Learning Engineer,10-20 years,Python
Brazil,Master’s degree,Data Scientist,3-5 years,R
Turkey,Doctoral degree,Machine Learning Engineer,5-10 years,Python
Poland,Doctoral degree,Currently not employed,1-2 years,Python
Australia,Doctoral degree,Data Scientist,10-20 years,Bash
Other,Doctoral degree,Data Analyst,,
Ukraine,Professional degree,Research Scientist,5-10 years,Java
Spain,Master’s degree,Data Scientist,20+ years,Python
India,Bachelor’s degree,Software Engineer,5-10 years,Python
Poland,Master’s degree,Product/Project Manager,1-2 years,Python
China,Master’s degree,Data Analyst,< 1 years,Python
China,Bachelor’s degree,,,
United States of America,Master’s degree,Other,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Egypt,Bachelor’s degree,Student,< 1 years,Swift
United States of America,Doctoral degree,Currently not employed,5-10 years,None
Turkey,Bachelor’s degree,Student,,
India,Bachelor’s degree,Student,3-5 years,Python
Brazil,Master’s degree,Research Scientist,< 1 years,Python
China,Bachelor’s degree,Data Analyst,< 1 years,Python
Germany,Master’s degree,Research Scientist,20+ years,Python
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python
India,Doctoral degree,Other,20+ years,R
Japan,Master’s degree,Data Engineer,1-2 years,Python
United States of America,Master’s degree,Research Scientist,20+ years,Python
Republic of Korea,Master’s degree,Data Analyst,< 1 years,Python
Saudi Arabia,Master’s degree,Product/Project Manager,3-5 years,SQL
India,Bachelor’s degree,Currently not employed,5-10 years,Python
India,Master’s degree,Software Engineer,1-2 years,C
Taiwan,Professional degree,Product/Project Manager,1-2 years,SQL
United States of America,Professional degree,Research Scientist,1-2 years,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,5-10 years,Python
India,Master’s degree,Software Engineer,5-10 years,Python
Nigeria,Master’s degree,Software Engineer,3-5 years,Python
Australia,No formal education past high school,Currently not employed,10-20 years,Python
India,Bachelor’s degree,Currently not employed,3-5 years,Julia
India,Master’s degree,Currently not employed,5-10 years,SQL
India,Master’s degree,Other,1-2 years,Python
Viet Nam,Some college/university study without earning a bachelor’s degree,Data Analyst,5-10 years,Python
Bangladesh,Master’s degree,Product/Project Manager,1-2 years,SQL
Peru,Professional degree,Student,< 1 years,Python
United States of America,Bachelor’s degree,Business Analyst,5-10 years,Python
Russia,Master’s degree,Student,< 1 years,C
Turkey,Some college/university study without earning a bachelor’s degree,Other,1-2 years,Python
Japan,Doctoral degree,Currently not employed,20+ years,Python
Other,No formal education past high school,Data Analyst,1-2 years,Python
Turkey,Doctoral degree,Data Scientist,10-20 years,Python
India,Bachelor’s degree,Data Scientist,10-20 years,Julia
India,Master’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Data Scientist,5-10 years,Python
Other,Master’s degree,Other,5-10 years,Python
Kenya,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
United States of America,Doctoral degree,Student,1-2 years,Python
Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,3-5 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Malaysia,Bachelor’s degree,Student,< 1 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Japan,Doctoral degree,Research Scientist,20+ years,Python
India,Doctoral degree,Currently not employed,1-2 years,Python
Taiwan,Master’s degree,Data Engineer,3-5 years,Python
India,Bachelor’s degree,Data Analyst,5-10 years,Python
France,Master’s degree,Software Engineer,10-20 years,Python
India,Bachelor’s degree,Data Scientist,3-5 years,Python
Nepal,Master’s degree,Currently not employed,3-5 years,Python
Turkey,Master’s degree,Other,5-10 years,MATLAB
Malaysia,Doctoral degree,Research Scientist,10-20 years,Python
Netherlands,Master’s degree,Business Analyst,1-2 years,Python
India,Master’s degree,Data Scientist,5-10 years,Python
United States of America,Bachelor’s degree,Other,10-20 years,R
Colombia,Professional degree,Software Engineer,3-5 years,Python
India,Doctoral degree,Other,3-5 years,Python
United States of America,Bachelor’s degree,Other,3-5 years,Python
Poland,Bachelor’s degree,Student,3-5 years,
India,Bachelor’s degree,Student,3-5 years,Python
India,Master’s degree,Student,3-5 years,Python
Nepal,Bachelor’s degree,Other,1-2 years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Python
Israel,Bachelor’s degree,Student,1-2 years,Python
United States of America,Master’s degree,Data Scientist,20+ years,R
Russia,Bachelor’s degree,Currently not employed,10-20 years,Python
India,Master’s degree,Data Analyst,3-5 years,Python
Other,Doctoral degree,Research Scientist,10-20 years,Python
Netherlands,Master’s degree,Product/Project Manager,10-20 years,R
Brazil,Bachelor’s degree,Student,3-5 years,Python
India,Doctoral degree,Machine Learning Engineer,1-2 years,Python
Germany,Professional degree,Product/Project Manager,20+ years,Python
India,Master’s degree,Student,< 1 years,Python
India,Bachelor’s degree,Software Engineer,< 1 years,Python
Indonesia,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Russia,No formal education past high school,Currently not employed,3-5 years,Python
Nepal,Bachelor’s degree,Data Scientist,3-5 years,Python
Indonesia,Bachelor’s degree,Currently not employed,5-10 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,3-5 years,Python
Other,,,,
Other,Bachelor’s degree,Data Scientist,3-5 years,Python
South Korea,Master’s degree,Research Scientist,3-5 years,Python
Mexico,Master’s degree,Business Analyst,1-2 years,SQL
Romania,Doctoral degree,Data Scientist,5-10 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
Other,Master’s degree,Product/Project Manager,1-2 years,Python
Other,Doctoral degree,Research Scientist,3-5 years,Python
United States of America,Master’s degree,Other,1-2 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
Japan,Master’s degree,Software Engineer,10-20 years,Python
China,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python
Turkey,Master’s degree,Machine Learning Engineer,3-5 years,C
Indonesia,Bachelor’s degree,Data Scientist,3-5 years,Python
Switzerland,Master’s degree,Other,< 1 years,None
Indonesia,Master’s degree,Software Engineer,3-5 years,Python
Taiwan,Master’s degree,Data Scientist,1-2 years,Python
South Korea,No formal education past high school,Student,1-2 years,Python
United States of America,Master’s degree,Other,5-10 years,Python
India,Master’s degree,Software Engineer,1-2 years,Python
Germany,Master’s degree,Student,3-5 years,Java
United States of America,Master’s degree,Other,20+ years,Python
India,Bachelor’s degree,Currently not employed,3-5 years,Python
United States of America,Doctoral degree,Product/Project Manager,10-20 years,Python
Thailand,I prefer not to answer,Other,5-10 years,Python
Portugal,Master’s degree,Business Analyst,1-2 years,Python
India,Master’s degree,Software Engineer,10-20 years,Python
Russia,Bachelor’s degree,Software Engineer,10-20 years,Python
Other,Bachelor’s degree,Software Engineer,3-5 years,None
India,Bachelor’s degree,Student,1-2 years,Python
Japan,Master’s degree,Data Analyst,3-5 years,R
India,Bachelor’s degree,Student,1-2 years,Python
Germany,Master’s degree,Currently not employed,20+ years,Python
Russia,No formal education past high school,Software Engineer,3-5 years,Python
India,,,,
Germany,Doctoral degree,Product/Project Manager,3-5 years,Other
Ukraine,Master’s degree,Data Analyst,10-20 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Thailand,Doctoral degree,Other,20+ years,Python
Bangladesh,Master’s degree,Student,3-5 years,Python
United States of America,Doctoral degree,Student,5-10 years,Python
Morocco,Professional degree,Software Engineer,< 1 years,Python
United States of America,Some college/university study without earning a bachelor’s degree,,,
Canada,Professional degree,Data Scientist,< 1 years,Python
India,Master’s degree,Machine Learning Engineer,3-5 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
United States of America,Master’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Malaysia,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
Russia,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
Other,Master’s degree,Business Analyst,1-2 years,Python
Other,Master’s degree,Data Analyst,< 1 years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Python
India,Bachelor’s degree,Data Scientist,< 1 years,R
United States of America,Bachelor’s degree,Student,5-10 years,Java
Nigeria,Bachelor’s degree,Currently not employed,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Spain,Doctoral degree,Software Engineer,5-10 years,Python
United States of America,No formal education past high school,Software Engineer,10-20 years,Java
Spain,Bachelor’s degree,Software Engineer,5-10 years,Python
India,Bachelor’s degree,Currently not employed,3-5 years,Python
India,Master’s degree,Currently not employed,1-2 years,Python
Japan,Bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,< 1 years,Julia
India,Master’s degree,Currently not employed,1-2 years,Python
Japan,Master’s degree,Student,5-10 years,Python
Other,Bachelor’s degree,Software Engineer,1-2 years,C++
India,Master’s degree,Machine Learning Engineer,3-5 years,Julia
India,Master’s degree,Software Engineer,1-2 years,Python
Russia,Professional degree,Data Analyst,1-2 years,Python
United States of America,Doctoral degree,Data Scientist,20+ years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Brazil,Bachelor’s degree,Other,3-5 years,Python
India,Bachelor’s degree,Data Scientist,1-2 years,Python
Switzerland,Doctoral degree,Research Scientist,20+ years,Python
India,Bachelor’s degree,Software Engineer,5-10 years,R
India,Professional degree,Student,< 1 years,C++
India,Master’s degree,Software Engineer,1-2 years,Java
Russia,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
Nigeria,Bachelor’s degree,Data Analyst,1-2 years,Python
Republic of Korea,Master’s degree,Business Analyst,1-2 years,Python
Ukraine,Bachelor’s degree,Student,3-5 years,Python
India,Master’s degree,Student,< 1 years,Python
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
Australia,Some college/university study without earning a bachelor’s degree,Student,5-10 years,R
Mexico,Doctoral degree,Software Engineer,5-10 years,Python
Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,10-20 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
United States of America,Master’s degree,Machine Learning Engineer,20+ years,Python
United States of America,Bachelor’s degree,Software Engineer,3-5 years,R
China,Bachelor’s degree,Data Engineer,1-2 years,SQL
Other,Bachelor’s degree,Software Engineer,3-5 years,SQL
Other,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python
India,Bachelor’s degree,Software Engineer,5-10 years,SQL
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,5-10 years,Python
Colombia,Doctoral degree,Data Scientist,20+ years,R
Colombia,Master’s degree,Software Engineer,5-10 years,Python
United States of America,Master’s degree,Data Scientist,1-2 years,Python
Turkey,Bachelor’s degree,Data Scientist,5-10 years,Python
Republic of Korea,Bachelor’s degree,Machine Learning Engineer,5-10 years,Python
South Africa,Master’s degree,Statistician,3-5 years,Python
India,Master’s degree,Data Analyst,< 1 years,Python
India,Professional degree,Other,1-2 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Pakistan,Master’s degree,Student,3-5 years,Python
Indonesia,I prefer not to answer,Data Analyst,1-2 years,MATLAB
Egypt,Bachelor’s degree,Data Scientist,3-5 years,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Analyst,1-2 years,Python
Japan,Master’s degree,Machine Learning Engineer,1-2 years,Python
United States of America,Some college/university study without earning a bachelor’s degree,Data Scientist,10-20 years,Python
Nigeria,Bachelor’s degree,Data Scientist,< 1 years,Python
Bangladesh,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Germany,,,,
Israel,Master’s degree,Statistician,5-10 years,Python
India,Bachelor’s degree,Software Engineer,20+ years,Python
Tunisia,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
Other,Doctoral degree,Research Scientist,5-10 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
"Iran, Islamic Republic of...",Master’s degree,Currently not employed,1-2 years,Python
Italy,Doctoral degree,Data Engineer,20+ years,SQL
India,,,,
India,Master’s degree,Student,< 1 years,Python
Mexico,Professional degree,Student,< 1 years,Python
France,Master’s degree,Currently not employed,< 1 years,Python
United States of America,Master’s degree,Software Engineer,5-10 years,Python
Argentina,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python
United States of America,Master’s degree,Student,3-5 years,R
India,Bachelor’s degree,Student,1-2 years,Python
Peru,Bachelor’s degree,Statistician,1-2 years,Python
South Africa,Bachelor’s degree,Other,< 1 years,R
Colombia,Bachelor’s degree,Student,3-5 years,Python
Russia,I prefer not to answer,Student,< 1 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,3-5 years,MATLAB
India,I prefer not to answer,Data Scientist,5-10 years,Python
Indonesia,Bachelor’s degree,Currently not employed,< 1 years,Python
India,Bachelor’s degree,Software Engineer,10-20 years,Python
India,Master’s degree,Other,3-5 years,Python
Canada,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python
Other,Master’s degree,Business Analyst,< 1 years,R
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,20+ years,R
India,Bachelor’s degree,Data Scientist,1-2 years,Python
Turkey,Bachelor’s degree,Data Scientist,< 1 years,Python
Australia,Bachelor’s degree,Business Analyst,< 1 years,Python
China,Master’s degree,Business Analyst,3-5 years,R
Turkey,Bachelor’s degree,Student,3-5 years,R
Other,Master’s degree,Software Engineer,5-10 years,Python
Philippines,Bachelor’s degree,Business Analyst,5-10 years,SQL
India,,,,
India,I prefer not to answer,Currently not employed,1-2 years,Python
China,Master’s degree,Student,< 1 years,Python
Brazil,Some college/university study without earning a bachelor’s degree,Data Scientist,1-2 years,Python
Other,No formal education past high school,,,
United States of America,Master’s degree,Business Analyst,3-5 years,Python
Ukraine,Bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Other,Master’s degree,,,
United Arab Emirates,Master’s degree,DBA/Database Engineer,3-5 years,Python
United States of America,Bachelor’s degree,Other,5-10 years,Python
Ukraine,Master’s degree,Student,1-2 years,Python
Turkey,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
Netherlands,Master’s degree,Currently not employed,3-5 years,Python
Brazil,Master’s degree,Other,< 1 years,R
Other,I prefer not to answer,Software Engineer,20+ years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Other,Master’s degree,Software Engineer,10-20 years,Python
Morocco,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python
Sri Lanka,Bachelor’s degree,Student,3-5 years,MATLAB
Other,Master’s degree,Other,1-2 years,Python
Other,Bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Python
Peru,Bachelor’s degree,Student,1-2 years,Python
Japan,Bachelor’s degree,Currently not employed,1-2 years,Python
India,Master’s degree,Student,< 1 years,Python
Other,Master’s degree,Data Scientist,5-10 years,Swift
Romania,Master’s degree,Student,3-5 years,Python
United States of America,Bachelor’s degree,Student,1-2 years,Python
India,Master’s degree,Student,1-2 years,C++
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Software Engineer,1-2 years,Other
Indonesia,,,,
Tunisia,Master’s degree,Student,< 1 years,Python
United States of America,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python
Sri Lanka,Bachelor’s degree,Currently not employed,< 1 years,Python
France,Master’s degree,Data Scientist,3-5 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Research Scientist,1-2 years,Python
Germany,Doctoral degree,Research Scientist,20+ years,Python
Morocco,Master’s degree,Data Scientist,3-5 years,Python
Nepal,Master’s degree,Data Scientist,1-2 years,Python
Morocco,Doctoral degree,Research Scientist,20+ years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Python
Viet Nam,Professional degree,Student,1-2 years,Python
United States of America,Bachelor’s degree,Data Analyst,1-2 years,Python
Nigeria,Some college/university study without earning a bachelor’s degree,Student,1-2 years,SQL
United Kingdom of Great Britain and Northern Ireland,Professional degree,Other,3-5 years,Python
India,Bachelor’s degree,Currently not employed,3-5 years,Python
Russia,Master’s degree,Software Engineer,5-10 years,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Engineer,20+ years,R
India,Bachelor’s degree,Data Analyst,1-2 years,Python
India,Doctoral degree,Currently not employed,< 1 years,Python
Indonesia,I prefer not to answer,,,
India,Doctoral degree,Data Scientist,5-10 years,Python
Brazil,Bachelor’s degree,Software Engineer,20+ years,Python
India,Bachelor’s degree,Currently not employed,1-2 years,Python
Other,Master’s degree,Student,< 1 years,R
India,Bachelor’s degree,Student,< 1 years,Python
"Iran, Islamic Republic of...",Master’s degree,Currently not employed,5-10 years,Python
Russia,Bachelor’s degree,Data Analyst,1-2 years,Python
"Iran, Islamic Republic of...",,,,
Turkey,Master’s degree,Data Analyst,< 1 years,Python
United States of America,Master’s degree,Business Analyst,10-20 years,Python
Other,Master’s degree,Statistician,< 1 years,R
United States of America,Doctoral degree,Other,10-20 years,Python
Pakistan,Bachelor’s degree,Data Scientist,1-2 years,Python
Mexico,Master’s degree,Data Engineer,10-20 years,Python
China,Master’s degree,,,
Morocco,Master’s degree,Student,3-5 years,R
Turkey,Bachelor’s degree,Student,1-2 years,Python
India,Professional degree,Business Analyst,3-5 years,Python
India,I prefer not to answer,,,
Indonesia,Bachelor’s degree,Business Analyst,1-2 years,Python
Romania,Doctoral degree,Research Scientist,5-10 years,Python
India,Master’s degree,,,
Indonesia,Master’s degree,Research Scientist,< 1 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Russia,Master’s degree,Machine Learning Engineer,5-10 years,Python
Other,Master’s degree,Research Scientist,1-2 years,Python
India,Bachelor’s degree,Data Scientist,< 1 years,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,10-20 years,C
Turkey,Bachelor’s degree,Student,1-2 years,Python
Germany,Professional degree,Other,20+ years,Julia
Australia,Master’s degree,Other,1-2 years,Python
Bangladesh,Bachelor’s degree,Currently not employed,< 1 years,C
United States of America,Bachelor’s degree,Currently not employed,< 1 years,R
Taiwan,I prefer not to answer,Currently not employed,< 1 years,Python
Turkey,Bachelor’s degree,Student,1-2 years,R
South Africa,Bachelor’s degree,Student,< 1 years,Python
United States of America,Master’s degree,Data Analyst,3-5 years,Python
Pakistan,Master’s degree,Currently not employed,3-5 years,Python
Mexico,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
Ukraine,Doctoral degree,Data Engineer,5-10 years,C++
Russia,Master’s degree,Data Scientist,3-5 years,Python
South Korea,Master’s degree,Data Analyst,10-20 years,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,5-10 years,Python
India,Bachelor’s degree,Software Engineer,1-2 years,Python
United States of America,Master’s degree,Software Engineer,20+ years,R
Pakistan,Master’s degree,Data Engineer,< 1 years,Python
Poland,Bachelor’s degree,Student,1-2 years,
India,Master’s degree,Data Scientist,< 1 years,SQL
Brazil,Master’s degree,Data Scientist,20+ years,Python
United States of America,Doctoral degree,Data Scientist,20+ years,Python
Russia,,,,
India,Bachelor’s degree,Software Engineer,1-2 years,Python
India,Master’s degree,Data Scientist,5-10 years,Python
Taiwan,Master’s degree,Machine Learning Engineer,1-2 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
Morocco,Professional degree,Currently not employed,3-5 years,Python
Nepal,Bachelor’s degree,Data Engineer,1-2 years,SQL
Viet Nam,Bachelor’s degree,Product/Project Manager,3-5 years,Python
India,Master’s degree,Data Analyst,5-10 years,Python
Ireland,Master’s degree,Software Engineer,20+ years,Python
Brazil,Master’s degree,Data Scientist,< 1 years,Python
Taiwan,,,,
Turkey,I prefer not to answer,Student,< 1 years,Python
United States of America,I prefer not to answer,Student,20+ years,R
India,,,,
Turkey,Bachelor’s degree,Student,3-5 years,C++
India,Bachelor’s degree,Other,< 1 years,Python
India,Master’s degree,Currently not employed,1-2 years,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,1-2 years,Python
India,Bachelor’s degree,Data Analyst,< 1 years,Python
India,Master’s degree,Research Scientist,3-5 years,Python
United States of America,Master’s degree,Data Scientist,20+ years,Python
Brazil,,,,
Brazil,Doctoral degree,Research Scientist,10-20 years,Python
Pakistan,Bachelor’s degree,Software Engineer,1-2 years,Python
India,Bachelor’s degree,Data Scientist,5-10 years,C++
Turkey,Bachelor’s degree,Student,1-2 years,Python
Viet Nam,I prefer not to answer,Student,1-2 years,Python
Japan,Master’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
India,Master’s degree,Currently not employed,10-20 years,Python
Japan,I prefer not to answer,Data Scientist,1-2 years,Python
United States of America,Doctoral degree,Student,5-10 years,Python
China,Master’s degree,Research Scientist,1-2 years,Python
Taiwan,Master’s degree,Student,3-5 years,Python
United States of America,Master’s degree,Data Engineer,1-2 years,Swift
Peru,Bachelor’s degree,Product/Project Manager,5-10 years,Python
Switzerland,Bachelor’s degree,Other,20+ years,Python
France,Professional degree,DBA/Database Engineer,5-10 years,Python
India,Master’s degree,Business Analyst,1-2 years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Python
Other,No formal education past high school,Software Engineer,3-5 years,
India,Bachelor’s degree,,,
United States of America,Bachelor’s degree,Software Engineer,10-20 years,Python
Canada,Bachelor’s degree,Student,1-2 years,Java
United States of America,Master’s degree,Data Scientist,5-10 years,Python
Other,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,R
India,Bachelor’s degree,Software Engineer,3-5 years,Python
South Korea,Master’s degree,Other,1-2 years,Python
Indonesia,Bachelor’s degree,Data Analyst,< 1 years,C++
Philippines,Doctoral degree,Data Scientist,20+ years,R
Greece,Master’s degree,Data Scientist,1-2 years,Python
India,Bachelor’s degree,Data Scientist,1-2 years,Python
India,Bachelor’s degree,Data Scientist,3-5 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Chile,Master’s degree,Business Analyst,3-5 years,Python
Other,,,,
Australia,Doctoral degree,Data Scientist,20+ years,Python
United States of America,Master’s degree,Data Scientist,3-5 years,Python
Other,Bachelor’s degree,Data Analyst,< 1 years,SQL
Saudi Arabia,Doctoral degree,Research Scientist,10-20 years,Python
United States of America,Master’s degree,Student,< 1 years,SQL
India,Professional degree,Currently not employed,3-5 years,Python
Pakistan,Bachelor’s degree,Currently not employed,1-2 years,Python
India,Master’s degree,Software Engineer,1-2 years,Python
United States of America,Bachelor’s degree,Data Scientist,5-10 years,Python
Ukraine,Master’s degree,Software Engineer,20+ years,Python
India,Master’s degree,Data Analyst,3-5 years,Java
Other,Doctoral degree,Research Scientist,20+ years,Python
India,Bachelor’s degree,,,
"Iran, Islamic Republic of...",Master’s degree,Machine Learning Engineer,5-10 years,Python
Ukraine,Master’s degree,Software Engineer,5-10 years,SQL
Mexico,Master’s degree,Software Engineer,10-20 years,Python
India,Bachelor’s degree,Student,1-2 years,C
United States of America,Master’s degree,Currently not employed,3-5 years,R
Spain,Professional degree,Research Scientist,3-5 years,C
South Korea,Professional degree,Research Scientist,10-20 years,Python
Romania,Bachelor’s degree,Student,1-2 years,Python
Morocco,Master’s degree,Data Engineer,3-5 years,Python
China,Bachelor’s degree,Student,1-2 years,Python
United States of America,Some college/university study without earning a bachelor’s degree,,,
Spain,Master’s degree,Data Scientist,5-10 years,Python
Colombia,Master’s degree,Software Engineer,3-5 years,Javascript
United States of America,Master’s degree,Machine Learning Engineer,5-10 years,Python
Colombia,Doctoral degree,Research Scientist,< 1 years,Javascript
Brazil,Bachelor’s degree,Other,3-5 years,Python
Other,Master’s degree,Software Engineer,5-10 years,Python
France,Doctoral degree,Other,20+ years,R
India,Professional degree,Business Analyst,< 1 years,Python
Italy,Master’s degree,Data Engineer,3-5 years,Python
Brazil,Bachelor’s degree,Other,20+ years,Python
