Q3,Q4,Q5,Q6,prog_lang,selected_lang
Portugal,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Brazil,Master’s degree,Other,5-10 years,Q7_Part_1,Python
Chile,Professional degree,Software Engineer,< 1 years,Q7_Part_1,Python
Belgium,Doctoral degree,Product/Project Manager,20+ years,Q7_Part_1,Python
Japan,Master’s degree,Software Engineer,10-20 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
India,Master’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
Japan,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
India,I prefer not to answer,Data Scientist,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Analyst,10-20 years,Q7_Part_1,Python
Pakistan,Doctoral degree,Data Scientist,10-20 years,Q7_Part_1,Python
Nigeria,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Sweden,Master’s degree,Data Engineer,20+ years,Q7_Part_1,Python
Other,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Machine Learning Engineer,5-10 years,Q7_Part_1,Python
Mexico,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
India,Master’s degree,Student,3-5 years,Q7_Part_1,Python
Bangladesh,Master’s degree,Other,< 1 years,Q7_Part_1,Python
Mexico,Master’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
Kenya,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
Republic of Korea,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
India,Master’s degree,Student,3-5 years,Q7_Part_1,Python
Germany,Doctoral degree,Research Scientist,10-20 years,Q7_Part_1,Python
Other,Doctoral degree,Data Scientist,10-20 years,Q7_Part_1,Python
Japan,Bachelor’s degree,Other,10-20 years,Q7_Part_1,Python
Taiwan,Master’s degree,Student,< 1 years,Q7_Part_1,Python
Japan,Master’s degree,Data Scientist,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Other,1-2 years,Q7_Part_1,Python
Italy,Professional degree,Data Analyst,1-2 years,Q7_Part_1,Python
Portugal,Master’s degree,Machine Learning Engineer,5-10 years,Q7_Part_1,Python
Other,Master’s degree,Student,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Analyst,5-10 years,Q7_Part_1,Python
Russia,Master’s degree,Data Engineer,3-5 years,Q7_Part_1,Python
Spain,Doctoral degree,Research Scientist,5-10 years,Q7_Part_1,Python
India,Master’s degree,Other,< 1 years,Q7_Part_1,Python
India,Doctoral degree,Student,10-20 years,Q7_Part_1,Python
Canada,Master’s degree,Student,3-5 years,Q7_Part_1,Python
Russia,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
India,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
Pakistan,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Japan,Doctoral degree,Research Scientist,< 1 years,Q7_Part_1,Python
China,Master’s degree,Student,1-2 years,Q7_Part_1,Python
Sweden,Master’s degree,Student,3-5 years,Q7_Part_1,Python
United States of America,Doctoral degree,Research Scientist,20+ years,Q7_Part_1,Python
Egypt,Bachelor’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Student,3-5 years,Q7_Part_1,Python
Brazil,Bachelor’s degree,Data Analyst,20+ years,Q7_Part_1,Python
Germany,Doctoral degree,Research Scientist,5-10 years,Q7_Part_1,Python
Australia,Bachelor’s degree,Data Analyst,20+ years,Q7_Part_1,Python
India,Doctoral degree,Data Scientist,1-2 years,Q7_Part_1,Python
India,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Scientist,20+ years,Q7_Part_1,Python
Poland,No formal education past high school,Data Engineer,1-2 years,Q7_Part_1,Python
Colombia,Master’s degree,Data Analyst,5-10 years,Q7_Part_1,Python
United States of America,Master’s degree,Software Engineer,10-20 years,Q7_Part_1,Python
Bangladesh,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Sweden,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
Philippines,Bachelor’s degree,Currently not employed,3-5 years,Q7_Part_1,Python
Colombia,Professional degree,Student,3-5 years,Q7_Part_1,Python
Greece,Master’s degree,Student,3-5 years,Q7_Part_1,Python
Taiwan,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Brazil,Doctoral degree,Research Scientist,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Tunisia,Bachelor’s degree,Research Scientist,1-2 years,Q7_Part_1,Python
United States of America,Some college/university study without earning a bachelor’s degree,Other,10-20 years,Q7_Part_1,Python
Brazil,Professional degree,Research Scientist,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
Canada,I prefer not to answer,Research Scientist,5-10 years,Q7_Part_1,Python
Other,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Other,Bachelor’s degree,Currently not employed,3-5 years,Q7_Part_1,Python
Indonesia,No formal education past high school,Data Analyst,< 1 years,Q7_Part_1,Python
Sri Lanka,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
United States of America,Doctoral degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
Bangladesh,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
China,Master’s degree,Student,1-2 years,Q7_Part_1,Python
Pakistan,Master’s degree,Data Analyst,5-10 years,Q7_Part_1,Python
Taiwan,Master’s degree,Data Engineer,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Software Engineer,1-2 years,Q7_Part_1,Python
Kenya,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,< 1 years,Q7_Part_1,Python
India,Master’s degree,Other,1-2 years,Q7_Part_1,Python
Singapore,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Other,Bachelor’s degree,Software Engineer,5-10 years,Q7_Part_1,Python
China,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Software Engineer,1-2 years,Q7_Part_1,Python
India,Master’s degree,Business Analyst,1-2 years,Q7_Part_1,Python
Brazil,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
United States of America,Some college/university study without earning a bachelor’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Brazil,Master’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
Peru,Professional degree,Student,< 1 years,Q7_Part_1,Python
Taiwan,No formal education past high school,Business Analyst,1-2 years,Q7_Part_1,Python
Greece,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Colombia,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Japan,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
Peru,Bachelor’s degree,Product/Project Manager,10-20 years,Q7_Part_1,Python
Philippines,Bachelor’s degree,Software Engineer,5-10 years,Q7_Part_1,Python
Other,Master’s degree,Research Scientist,3-5 years,Q7_Part_1,Python
Other,I prefer not to answer,Data Analyst,5-10 years,Q7_Part_1,Python
Pakistan,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Other,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Brazil,Master’s degree,Data Scientist,10-20 years,Q7_Part_1,Python
United Arab Emirates,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
Germany,Master’s degree,Data Scientist,10-20 years,Q7_Part_1,Python
Germany,Master’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
United States of America,Doctoral degree,Currently not employed,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
India,No formal education past high school,Currently not employed,1-2 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Other,10-20 years,Q7_Part_1,Python
India,Master’s degree,Data Scientist,10-20 years,Q7_Part_1,Python
Russia,Master’s degree,Data Analyst,5-10 years,Q7_Part_1,Python
Brazil,Some college/university study without earning a bachelor’s degree,Business Analyst,< 1 years,Q7_Part_1,Python
India,Some college/university study without earning a bachelor’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Viet Nam,Doctoral degree,Data Analyst,10-20 years,Q7_Part_1,Python
Tunisia,Master’s degree,Data Scientist,10-20 years,Q7_Part_1,Python
Bangladesh,Bachelor’s degree,Currently not employed,3-5 years,Q7_Part_1,Python
India,Master’s degree,Software Engineer,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Nigeria,Master’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,10-20 years,Q7_Part_1,Python
Brazil,Master’s degree,Business Analyst,5-10 years,Q7_Part_1,Python
Mexico,Master’s degree,Product/Project Manager,3-5 years,Q7_Part_1,Python
Japan,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,5-10 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
Spain,Doctoral degree,Data Scientist,5-10 years,Q7_Part_1,Python
Italy,Doctoral degree,Research Scientist,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
India,Master’s degree,Machine Learning Engineer,5-10 years,Q7_Part_1,Python
Brazil,Bachelor’s degree,Research Scientist,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Scientist,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Product/Project Manager,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
Nigeria,Master’s degree,Data Scientist,< 1 years,Q7_Part_1,Python
South Africa,Master’s degree,Currently not employed,3-5 years,Q7_Part_1,Python
Indonesia,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
South Africa,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Other,< 1 years,Q7_Part_1,Python
United States of America,Doctoral degree,Currently not employed,< 1 years,Q7_Part_1,Python
"Iran, Islamic Republic of...",Master’s degree,Currently not employed,5-10 years,Q7_Part_1,Python
Russia,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
Russia,Master’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
Australia,Master’s degree,Student,3-5 years,Q7_Part_1,Python
India,Doctoral degree,Other,10-20 years,Q7_Part_1,Python
Brazil,Professional degree,Research Scientist,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
South Korea,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,< 1 years,Q7_Part_1,Python
South Korea,Doctoral degree,Student,10-20 years,Q7_Part_1,Python
Japan,Bachelor’s degree,Software Engineer,20+ years,Q7_Part_1,Python
Tunisia,Master’s degree,Research Scientist,3-5 years,Q7_Part_1,Python
India,Professional degree,Data Analyst,3-5 years,Q7_Part_1,Python
Japan,Master’s degree,Machine Learning Engineer,5-10 years,Q7_Part_1,Python
Indonesia,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,20+ years,Q7_Part_1,Python
Taiwan,Bachelor’s degree,DBA/Database Engineer,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
Ukraine,Some college/university study without earning a bachelor’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
Japan,Professional degree,Data Scientist,3-5 years,Q7_Part_1,Python
India,Professional degree,Data Scientist,5-10 years,Q7_Part_1,Python
Brazil,Bachelor’s degree,Data Engineer,3-5 years,Q7_Part_1,Python
Tunisia,Master’s degree,Research Scientist,1-2 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Software Engineer,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Bangladesh,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Nigeria,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Q7_Part_1,Python
Russia,Master’s degree,Machine Learning Engineer,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Data Engineer,3-5 years,Q7_Part_1,Python
France,Master’s degree,Machine Learning Engineer,5-10 years,Q7_Part_1,Python
Spain,Master’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
Russia,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Australia,Master’s degree,Machine Learning Engineer,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Morocco,Master’s degree,Research Scientist,5-10 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Italy,Doctoral degree,Data Scientist,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
India,Master’s degree,Other,5-10 years,Q7_Part_1,Python
Peru,Bachelor’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
France,Doctoral degree,Software Engineer,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Other,3-5 years,Q7_Part_1,Python
India,Master’s degree,Student,1-2 years,Q7_Part_1,Python
Other,Master’s degree,Statistician,5-10 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Scientist,10-20 years,Q7_Part_1,Python
Belgium,Master’s degree,Other,20+ years,Q7_Part_1,Python
United States of America,Master’s degree,Data Engineer,20+ years,Q7_Part_1,Python
Other,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Brazil,Master’s degree,Product/Project Manager,10-20 years,Q7_Part_1,Python
Australia,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
China,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Mexico,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
India,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Portugal,Master’s degree,Student,< 1 years,Q7_Part_1,Python
Turkey,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
Nigeria,Bachelor’s degree,Currently not employed,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
Germany,Doctoral degree,Business Analyst,10-20 years,Q7_Part_1,Python
Brazil,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
United States of America,Some college/university study without earning a bachelor’s degree,Other,< 1 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Software Engineer,5-10 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
Romania,Bachelor’s degree,Research Scientist,3-5 years,Q7_Part_1,Python
Brazil,Bachelor’s degree,Business Analyst,3-5 years,Q7_Part_1,Python
Canada,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
China,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Brazil,Master’s degree,Data Scientist,20+ years,Q7_Part_1,Python
Philippines,Master’s degree,DBA/Database Engineer,< 1 years,Q7_Part_1,Python
Singapore,Doctoral degree,Research Scientist,5-10 years,Q7_Part_1,Python
Other,Master’s degree,Research Scientist,5-10 years,Q7_Part_1,Python
Egypt,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
Colombia,Master’s degree,Other,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
United Arab Emirates,Master’s degree,Research Scientist,< 1 years,Q7_Part_1,Python
India,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
China,Master’s degree,Machine Learning Engineer,< 1 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
United States of America,Doctoral degree,Research Scientist,3-5 years,Q7_Part_1,Python
Other,Master’s degree,Student,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,< 1 years,Q7_Part_1,Python
Canada,Bachelor’s degree,Other,5-10 years,Q7_Part_1,Python
Russia,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,20+ years,Q7_Part_1,Python
Russia,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
Russia,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
"Iran, Islamic Republic of...",Bachelor’s degree,Business Analyst,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Other,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Canada,Professional degree,Business Analyst,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
France,Master’s degree,Student,10-20 years,Q7_Part_1,Python
Brazil,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
Brazil,Doctoral degree,Other,< 1 years,Q7_Part_1,Python
Chile,Professional degree,Data Engineer,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Mexico,Master’s degree,Software Engineer,20+ years,Q7_Part_1,Python
Taiwan,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
India,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
Other,Some college/university study without earning a bachelor’s degree,Data Engineer,10-20 years,Q7_Part_1,Python
China,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
Nigeria,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Spain,Bachelor’s degree,Data Analyst,10-20 years,Q7_Part_1,Python
France,Doctoral degree,Other,20+ years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,20+ years,Q7_Part_1,Python
India,Master’s degree,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
Belgium,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
Australia,Master’s degree,DBA/Database Engineer,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
South Korea,Master’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
Thailand,No formal education past high school,Product/Project Manager,20+ years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Indonesia,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
China,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
"Iran, Islamic Republic of...",Doctoral degree,Student,< 1 years,Q7_Part_1,Python
United States of America,Doctoral degree,Data Scientist,5-10 years,Q7_Part_1,Python
Nigeria,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Russia,Master’s degree,Machine Learning Engineer,5-10 years,Q7_Part_1,Python
Pakistan,Master’s degree,Currently not employed,3-5 years,Q7_Part_1,Python
India,I prefer not to answer,Data Scientist,3-5 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
Belarus,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
Russia,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
China,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
India,Master’s degree,Student,3-5 years,Q7_Part_1,Python
United States of America,Doctoral degree,Research Scientist,5-10 years,Q7_Part_1,Python
Israel,Master’s degree,Data Engineer,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Currently not employed,20+ years,Q7_Part_1,Python
Japan,Master’s degree,Data Analyst,10-20 years,Q7_Part_1,Python
Indonesia,Bachelor’s degree,Business Analyst,< 1 years,Q7_Part_1,Python
Taiwan,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Russia,Professional degree,Research Scientist,20+ years,Q7_Part_1,Python
Sweden,Master’s degree,Data Engineer,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Australia,Doctoral degree,Data Scientist,10-20 years,Q7_Part_1,Python
Philippines,Bachelor’s degree,Other,1-2 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Q7_Part_1,Python
Australia,Master’s degree,Currently not employed,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Chile,Professional degree,Product/Project Manager,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Product/Project Manager,1-2 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Engineer,5-10 years,Q7_Part_1,Python
Russia,Professional degree,Data Engineer,10-20 years,Q7_Part_1,Python
Russia,Master’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Currently not employed,3-5 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,5-10 years,Q7_Part_1,Python
India,Professional degree,Data Scientist,20+ years,Q7_Part_1,Python
Pakistan,Master’s degree,Student,3-5 years,Q7_Part_1,Python
Greece,Master’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
Nigeria,Bachelor’s degree,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
Russia,Master’s degree,Business Analyst,< 1 years,Q7_Part_1,Python
Taiwan,No formal education past high school,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
India,Doctoral degree,Currently not employed,3-5 years,Q7_Part_1,Python
Romania,Master’s degree,Student,1-2 years,Q7_Part_1,Python
Indonesia,Bachelor’s degree,Research Scientist,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Statistician,< 1 years,Q7_Part_1,Python
Other,Some college/university study without earning a bachelor’s degree,Other,5-10 years,Q7_Part_1,Python
Argentina,Some college/university study without earning a bachelor’s degree,Other,< 1 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,20+ years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Software Engineer,10-20 years,Q7_Part_1,Python
Other,Master’s degree,Business Analyst,< 1 years,Q7_Part_1,Python
Colombia,Master’s degree,Product/Project Manager,5-10 years,Q7_Part_1,Python
Singapore,Bachelor’s degree,Data Analyst,5-10 years,Q7_Part_1,Python
Other,Master’s degree,Business Analyst,1-2 years,Q7_Part_1,Python
Indonesia,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Colombia,Some college/university study without earning a bachelor’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Other,3-5 years,Q7_Part_1,Python
Singapore,Doctoral degree,Research Scientist,3-5 years,Q7_Part_1,Python
South Korea,No formal education past high school,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
Spain,Master’s degree,Data Analyst,5-10 years,Q7_Part_1,Python
France,Master’s degree,Other,< 1 years,Q7_Part_1,Python
Egypt,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
Spain,Master’s degree,Statistician,5-10 years,Q7_Part_1,Python
South Africa,Some college/university study without earning a bachelor’s degree,Software Engineer,10-20 years,Q7_Part_1,Python
United States of America,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
Russia,Master’s degree,Business Analyst,10-20 years,Q7_Part_1,Python
Other,Master’s degree,Currently not employed,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Other,1-2 years,Q7_Part_1,Python
Australia,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Other,I prefer not to answer,Other,20+ years,Q7_Part_1,Python
India,Master’s degree,Other,< 1 years,Q7_Part_1,Python
France,Doctoral degree,Data Scientist,5-10 years,Q7_Part_1,Python
Belgium,Master’s degree,Software Engineer,20+ years,Q7_Part_1,Python
Kenya,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Germany,Doctoral degree,Research Scientist,3-5 years,Q7_Part_1,Python
Canada,Bachelor’s degree,Data Scientist,20+ years,Q7_Part_1,Python
Germany,Bachelor’s degree,Data Scientist,20+ years,Q7_Part_1,Python
Russia,Professional degree,Other,< 1 years,Q7_Part_1,Python
Belarus,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Switzerland,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Currently not employed,3-5 years,Q7_Part_1,Python
India,Master’s degree,Student,5-10 years,Q7_Part_1,Python
Taiwan,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Brazil,Master’s degree,Software Engineer,5-10 years,Q7_Part_1,Python
Switzerland,Doctoral degree,Student,5-10 years,Q7_Part_1,Python
Other,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Research Scientist,20+ years,Q7_Part_1,Python
Colombia,Master’s degree,Student,3-5 years,Q7_Part_1,Python
Japan,Bachelor’s degree,Machine Learning Engineer,20+ years,Q7_Part_1,Python
Taiwan,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
Turkey,Bachelor’s degree,Software Engineer,1-2 years,Q7_Part_1,Python
Netherlands,Doctoral degree,Statistician,20+ years,Q7_Part_1,Python
Pakistan,Master’s degree,Student,< 1 years,Q7_Part_1,Python
France,Doctoral degree,Research Scientist,5-10 years,Q7_Part_1,Python
Turkey,Master’s degree,Data Engineer,1-2 years,Q7_Part_1,Python
Russia,I prefer not to answer,Business Analyst,< 1 years,Q7_Part_1,Python
Germany,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
